Name,Allegiances,Death Year,Book of Death,Death Chapter,Book Intro Chapter,Gender,Nobility,GoT,CoK,SoS,FfC,DwD
Addam Marbrand,1,0,0,0,56,1,1,1,1,1,1,0
Aegon Frey (Jinglebell),1,1,3,51,49,1,1,0,0,1,0,0
Aegon Targaryen,1,0,0,0,5,1,1,0,0,0,0,1
Adrack Humble,1,1,5,20,20,1,1,0,0,0,0,1
Aemon Costayne,1,0,0,0,0,1,1,0,0,1,0,0
Aemon Estermont,1,0,0,0,0,1,1,0,1,1,0,0
Aemon Targaryen (son of Maekar I),1,1,4,35,21,1,1,1,0,1,1,0
Aenys Frey,1,1,5,0,59,0,1,1,1,1,0,1
Aeron Greyjoy,1,0,0,0,11,1,1,0,1,0,1,0
Aethan,1,0,0,0,0,1,0,0,0,1,0,0
Aggar,1,1,2,56,50,1,0,0,1,0,0,0
Aggo,1,0,0,0,54,1,0,1,1,1,0,1
Alan of Rosby,1,1,5,4,18,1,1,0,1,1,0,1
Alayaya,1,0,0,0,15,0,0,0,1,0,0,0
Albar Royce,1,0,0,0,38,1,1,1,0,0,1,0
Albett,1,0,0,0,26,1,0,1,0,0,0,0
Alebelly,1,1,2,46,4,1,0,0,1,0,0,0
Alerie Hightower,1,0,0,0,6,0,1,0,0,1,1,0
Alesander Staedmon,1,0,0,0,65,1,1,0,1,0,0,0
Alester Florent,1,1,4,0,36,1,1,0,1,1,0,0
Alia of Braavos,1,0,0,0,28,0,0,1,0,0,0,0
Alla Tyrell,1,0,0,0,6,0,1,0,0,1,1,0
Allard Seaworth,1,1,2,10,10,1,1,0,1,0,0,0
Alliser Thorne,2,0,0,0,19,1,0,1,1,1,0,1
Alyn,2,1,3,34,12,1,0,1,0,0,0,0
Alyn Ambrose,2,0,0,0,59,1,1,0,1,0,1,0
Alyn Estermont,2,0,0,0,0,1,1,0,1,1,0,0
Alyn Stackspear,2,0,0,0,16,1,1,0,0,0,1,0
Alys Karstark,2,0,0,0,44,0,1,0,0,0,0,1
Alysane Mormont,2,0,0,0,35,0,1,0,0,0,0,1
Alyx Frey,2,0,0,0,49,1,1,0,0,1,0,0
Ambrode,2,0,0,0,24,1,0,0,1,0,0,0
Amory Lorch,2,1,2,47,14,1,1,0,1,0,0,0
Andar Royce,2,0,0,0,29,1,1,1,0,0,0,0
Andrew Estermont,2,0,0,0,36,1,1,0,0,1,0,0
Andrey Dalt,2,0,0,0,21,1,1,0,0,0,1,0
Andrik,2,0,0,0,19,1,1,0,0,0,1,0
Anguy,2,0,0,0,30,1,0,1,0,1,0,0
Antario Jast,2,0,0,0,32,1,1,0,1,0,0,0
Anvil Ryn,2,1,3,34,34,1,0,0,0,1,0,0
Anya Waynwood,2,0,0,0,38,0,1,1,0,0,1,0
Archibald Yronwood,2,0,0,0,6,1,1,0,0,0,0,1
Ardrian Celtigar,2,0,0,0,10,1,1,0,1,1,0,0
Areo Hotah,2,0,0,0,2,1,0,0,0,0,1,1
Arianne Martell,2,0,0,0,2,0,1,0,0,0,1,1
Arneld,2,0,0,0,59,1,0,0,1,0,0,0
Arnolf Karstark,2,0,0,0,3,1,1,0,0,0,0,1
Aron Santagar,2,1,2,41,18,1,1,1,1,0,0,0
Arron,2,0,0,0,75,1,0,0,0,1,0,1
Arron Qorgyle,2,0,0,0,38,1,1,0,0,1,0,0
Arryk (Guard),2,0,0,0,6,1,0,0,0,1,1,0
Arson,2,0,0,0,26,1,0,0,0,1,0,0
Arthor Karstark,2,0,0,0,62,1,1,0,0,0,0,1
Arwyn Frey,2,0,0,0,49,0,1,0,0,1,0,0
Arwyn Oakheart,2,0,0,0,22,0,1,0,1,0,0,0
Arya Stark,2,0,0,0,2,0,1,1,1,1,1,1
Arys Oakheart,2,1,4,21,57,1,1,1,1,0,1,0
Asha Greyjoy,2,0,0,0,11,0,1,0,1,0,1,1
Aurane Waters,2,0,0,0,65,1,0,0,1,0,1,0
Axell Florent,2,0,0,0,0,1,1,0,1,1,0,1
Azzak,2,0,0,0,2,1,1,0,0,0,0,1
Ballabar,2,0,0,0,4,1,0,0,1,0,0,0
Balon Swann,2,0,0,0,29,1,1,1,1,1,1,1
Bannen,2,1,3,33,0,1,0,0,0,1,0,0
Barbrey Dustin,2,0,0,0,26,0,1,0,0,0,0,1
Barra,2,1,2,39,35,0,0,1,0,0,0,0
Barristan Selmy,2,0,0,0,15,1,1,1,1,1,0,1
Barsena,2,1,5,52,11,0,0,0,0,0,0,1
Barth (brewer),2,0,0,0,50,1,0,0,1,0,0,0
Bass,2,0,0,0,52,1,0,1,0,0,0,0
